FacilityID;NationalID;FacilityName;StreetName;BuildingNumber;PostalCode;City;CountryName;Lat;Long;CompetentAuthorityName;MainIAActivityCode;MainIASectorName;MainIAActivityName;MainIASubActivityName;MainActivityIndicator;ReportingYear;PollutantName;PollutantGroupName;TotalQuantity [kg/year];ReleaseMediumName
43843;06-05-100-0248923;RWE Power AG;Energiestraße;101;41517;Grevenbroich;Germany;51.03722351;6.599201085;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;29900000000;Air
44073;06-05-300-0326774;RWE Power AG Kraftwerk Niederaußem;Werkstr.;1;50129;Bergheim;Germany;50.97092682;6.666581622;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;27200000000;Air
43721;06-04-11/2005382/5/0;ArcelorMittal Bremen GmbH;Carl-Benz-Straße;30;28237;Bremen;Germany;53.12493943;8.686728464;Umweltbundesamt;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;26600000000;Air
46361;12-40710010000;LEAG, Kraftwerk Jänschwalde;Kraftwerkstraße;-;3185;Teichland;Germany;51.83360107;14.45798934;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;24000000000;Air
74662;14-70-46630660001;Kraftwerk Boxberg;Kraftwerksstraße -;-;2943;Boxberg;Germany;51.41884798;14.57432002;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;19100000000;Air
44118;06-05-300-0877384;RWE Power AG;Zum Kraftwerk;17;52249;Eschweiler;Germany;50.83316205;6.314578115;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;19100000000;Air
46366;12-40716440000;LEAG, Kraftwerk Schwarze Pumpe;An der alten Ziegelei;1;3130;Spremberg;Germany;51.53549739;14.35357573;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;11500000000;Air
74740;14-80-00009560000;LEAG Lausitz Energie Kraftwerke AG  Kraftwerk Lippendorf;Hauptstraße;200;4575;Neukieritzsch;Germany;51.18413954;12.37164339;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;11400000000;Air
43283;03-01-01211092310;Salzgitter Flachstahl GmbH;Eisenhüttenstr.;99;38239;Salzgitter;Germany;52.15476492;10.40307531;Umweltbundesamt;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;7940000000;Air
109453;07-05-8290552;BASF SE;Carl-Bosch-Str.;38;67056;Ludwigshafen am Rhein;Germany;49.51739119;8.423445647;Umweltbundesamt;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;#NAME?;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;7350000000;Air
2475;06-08-2948214;GKM Grosskraftwerk Mannheim AG;Marguerrestraße;1;68199;Mannheim;Germany;49.44577216;8.492229095;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;6860000000;Air
293020;06-02-BERZ003800;Vattenfall Heizkraftwerk Moorburg GmbH HKW Moorburg;Moorburger Schanze;2;21079;Hamburg;Germany;53.49102086;9.950205641;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;6160000000;Air
46848;12358;Uniper Kraftwerke GmbH;An der Bober;100;6258;Schkopau;Germany;51.39846164;11.95039901;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;5500000000;Air
43779;06-05-100-0077961;Hüttenwerke Krupp Mannesmann GmbH;Ehinger Str.;200;47259;Duisburg;Germany;51.36823117;6.712267332;Umweltbundesamt;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;5130000000;Air
