FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName;TotalQuantity;UnitName
1310637;2014;Carbon monoxide (CO);0.0354;Alcoa Fjarðaál;Fjarðabyggð;Iceland;65.033756;-14.099652;Aluminium production;35400000;kilogram
20;2001;Carbon monoxide (CO);0.001;NORSK HYDRO PRODUKSJON. Porsgrunn Ind - Magnesiumfabrikken;;Norway;59.127991;9.62404;Other non-ferrous metal production;1000000;kilogram
52;2001;Carbon monoxide (CO);0.000659;FESIL ASA. Holla Metall;;Norway;63.283132;9.071678;Other first processing of iron & steel & prod. of non-ECSC* ferro;659000;kilogram
63;2001;Carbon monoxide (CO);0.00139;ROCKWOOL AS. Moss;;Norway;59.427335;10.651752;Manufacture of other non-metallic mineral products n.e.c;1390000;kilogram
64;2001;Carbon monoxide (CO);0.00156;ROCKWOOL AS. Trondheim;;Norway;63.441821;10.500927;Manufacture of other non-metallic mineral products n.e.c;1560000;kilogram
172;2001;Carbon monoxide (CO);0.0013;Electrabel Langerlo;;Belgium;50.934049;5.478405;Production and distribution of electricity;1300000;kilogram
190;2001;Carbon monoxide (CO);0.000707;BASF Antwerpen nv;;Belgium;51.358217;4.253958;Manufacture of basic chemicals;707000;kilogram
225;2001;Carbon monoxide (CO);0.00129;Esso Raffinaderij Antwerpen;;Belgium;51.254401;4.333708;Manufacture of refined petroleum products;1290000;kilogram
231;2001;Carbon monoxide (CO);0.000878;Fina Antwerp Olefins nv;;Belgium;51.255416;4.329482;Manufacture of other organic basic chemicals;878000;kilogram
233;2001;Carbon monoxide (CO);0.00374;FINA Raffinaderij Antwerpen nv;;Belgium;51.266826;4.317781;Manufacture of refined petroleum products;3740000;kilogram
270;2001;Carbon monoxide (CO);0.148;Sidmar nv;;Belgium;51.166216;3.795403;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;148000000;kilogram
285;2001;Carbon monoxide (CO);0.105;COCKERILL SAMBRE SA  -  COKE / FONTE;;Belgium;50.6101;5.527;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;105000000;kilogram
286;2001;Carbon monoxide (CO);0.0453;COCKERILL SAMBRE SA -  site de MARCHIENNE- MARCINELLE;;Belgium;50.4099;4.4229;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;45300000;kilogram
289;2001;Carbon monoxide (CO);0.00939;DUFERCO CLABECQ SA;;Belgium;50.683;4.217;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;9390000;kilogram
292;2001;Carbon monoxide (CO);0.000705;THY MARCINELLE SA;;Belgium;50.4;4.433;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;705000;kilogram
299;2001;Carbon monoxide (CO);0.00208;CBR SA - site de LIXHE;;Belgium;50.766;5.666;Manufacture of cement;2080000;kilogram
300;2001;Carbon monoxide (CO);0.00323;C.C.B. SA;;Belgium;50.6;3.483;Manufacture of cement;3230000;kilogram
301;2001;Carbon monoxide (CO);0.000638;HOLCIM-BELGIQUE SA;;Belgium;50.466;4;Manufacture of cement;638000;kilogram
302;2001;Carbon monoxide (CO);0.00179;CBR SA - site d'ANTOING;;Belgium;50.583;3.45;Manufacture of cement;1790000;kilogram
306;2001;Carbon monoxide (CO);0.0015;CARRIERES ET FOURS A CHAUX DUMONT WAUTIER SA;;Belgium;50.566;5.366;Manufacture of lime;1500000;kilogram
338;2001;Carbon monoxide (CO);0.00118;PIRET SA;;Belgium;50.417;4.484;Casting of metals;1180000;kilogram
352;2001;Carbon monoxide (CO);0.00206;BURGO ARDENNES SA;;Belgium;49.5482;5.5022;Manufacture of pulp;2060000;kilogram
368;2001;Carbon monoxide (CO);0.0441;COCKERILL SAMBRE SA : CHERTAL;;Belgium;50.6908;5.66;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;44100000;kilogram
375;2001;Carbon monoxide (CO);0.00322;PAGE SA , DIVISION CETEM);;Belgium;50.6464;4.6075;Sewage and refuse disposal, sanitation and similar activities;3220000;kilogram
404;2001;Carbon monoxide (CO);0.00063;IMATRA STEEL OY AB, IMATRAN TERÄSTEHDAS;;Finland;61.1484;28.7963;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;630000;kilogram
429;2001;Carbon monoxide (CO);0.000652;Stora Enso Oyj, Kotkan tehtaat;;Finland;60.4658;26.9569;Manufacture of paper and paperboard;652000;kilogram
443;2001;Carbon monoxide (CO);0.00125;UPM-Kymmene Oyj, Kaukaan tehtaat;;Finland;61.0659;28.2407;Manufacture of pulp;1250000;kilogram
465;2001;Carbon monoxide (CO);0.00154;UPM KYMMENE OYJ,  PIETARSAAREN TEHTAAT;;Finland;63.7031;22.7054;Manufacture of pulp;1540000;kilogram
510;2001;Carbon monoxide (CO);0.00055;TAMPEREEN SÄHKÖLAITOS, LIELAHDEN VOIMALAITOS;;Finland;61.5103;23.6752;Production of electricity;550000;kilogram
515;2001;Carbon monoxide (CO);0.0013;PAROC OY AB, LAPPEENRANNAN VUORIVILLATEHDAS;;Finland;61.0377;28.1767;Manufacture of other non-metallic mineral products n.e.c;1300000;kilogram
525;2001;Carbon monoxide (CO);0.00404;Paroc Oy Ab Paraisten vuorivillatehdas ja Paroc Panel System;;Finland;60.2963;22.2672;Manufacture of other non-metallic mineral products n.e.c;4040000;kilogram
538;2001;Carbon monoxide (CO);0.00189;PAROC OY AB , Vuorivillatehdas, Oulu;;Finland;65.0534;25.554;Manufacture of other non-metallic mineral products n.e.c;1890000;kilogram
580;2001;Carbon monoxide (CO);0.00171;MAL Rt. Aluminium ágazat - Inota;;Hungary;47.202232;18.213267;Aluminium production;1710000;kilogram
582;2001;Carbon monoxide (CO);0.00453;Nitrogénm?vek Rt. II-es gyár;;Hungary;47.156736;18.140704;Manufacture of fertilisers and nitrogen compounds;4530000;kilogram
584;2001;Carbon monoxide (CO);0.000715;Wienerberger Rt. Bátaszéki gyára;;Hungary;46.198622;18.691797;Manufacture of bricks, tiles and& construction products, in baked clay;715000;kilogram
586;2001;Carbon monoxide (CO);0.00381;Rockwool Hungary Kft;;Hungary;47.040811;17.194512;Manufacture of other non-metallic mineral products n.e.c;3810000;kilogram
593;2001;Carbon monoxide (CO);0.00123;Dunaferr Dbk Kokszoló Kft;;Hungary;46.940316;18.937737;Manufacture of coke oven products;1230000;kilogram
600;2001;Carbon monoxide (CO);0.000918;Duna Dráva Cement Kft;;Hungary;45.81005;18.402152;Manufacture of lime;918000;kilogram
613;2001;Carbon monoxide (CO);0.0022;Dunamenti Er?m? Rt. Üzemi Területe;;Hungary;47.328165;18.918461;Production of electricity;2200000;kilogram
618;2001;Carbon monoxide (CO);0.0012;DDC Kft.Váci Gyár;;Hungary;47.811315;19.104605;Manufacture of cement;1200000;kilogram
623;2001;Carbon monoxide (CO);0.0007;Cereol Rt. Martf?i Növényolajgyára;;Hungary;47.040111;20.29166;Manufacture of refined oils and fats;700000;kilogram
637;2001;Carbon monoxide (CO);0.0008;Borsodchem Rt;;Hungary;48.245711;20.641896;Manufacture of plastics in primary forms;800000;kilogram
638;2001;Carbon monoxide (CO);0.000578;Holcim Hungária Cementipari Rt. Hej?csabai telephely;;Hungary;48.306645;20.530153;Manufacture of cement;578000;kilogram
640;2001;Carbon monoxide (CO);0.000698;ÓAM Ózdi Acélmüvek Kft.;;Hungary;48.242967;20.33348;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;698000;kilogram
643;2001;Carbon monoxide (CO);0.00288;Mátrai Er?mü Rt;;Hungary;47.789759;20.066722;Production of electricity;2880000;kilogram
806;2001;Carbon monoxide (CO);0.00113;ARES Esch-Schifflange;;Luxembourg;49.50268;5.99209;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;1130000;kilogram
807;2001;Carbon monoxide (CO);0.00208;ProfilArbed Differdange;;Luxembourg;49.52597;5.89753;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;2080000;kilogram
808;2001;Carbon monoxide (CO);0.00067;ProfilArbed Esch-Belval;;Luxembourg;49.5019;5.95579;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;670000;kilogram
809;2001;Carbon monoxide (CO);0.00268;Intermoselle Rumelange;;Luxembourg;49.46503;6.0045;Manufacture of cement;2680000;kilogram
823;2001;Carbon monoxide (CO);0.0011;Shell Nederland Raffinaderij B.V.;;Netherlands;51.880875;4.341493;Manufacture of refined petroleum products;1100000;kilogram
839;2001;Carbon monoxide (CO);0.0107;Aluminium Delfzijl B.V.;;Netherlands;53.311227;6.976702;Aluminium production;10700000;kilogram
843;2001;Carbon monoxide (CO);0.00736;SODABEDRIJVEN BRUNNERMOND;;Netherlands;53.3169;6.97646;Manufacture of other inorganic basic chemicals;7360000;kilogram
850;2001;Carbon monoxide (CO);0.000567;Suiker Unie;;Netherlands;51.810722;4.562095;Manufacture of sugar;567000;kilogram
