FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName
1113729;2014;Carbon dioxide (CO2);0.349;Varo Refining Cressier SA / Raffinerie de Cressier;Cressier;Switzerland;47.04003782;7.035794988;Manufacture of refined petroleum products
1113730;2014;Carbon dioxide (CO2);0.283;KEBAG AG;Zuchwil;Switzerland;47.2152774;7.570646783;Treatment and disposal of non-hazardous waste
1113734;2014;Carbon dioxide (CO2);0.125;Cimo SA;Monthey;Switzerland;46.25293905;6.965316545;Treatment and disposal of hazardous waste
1113773;2014;Carbon dioxide (CO2);0.493;Holcim (Suisse) SA;Eclépens;Switzerland;46.65566199;6.546421394;Manufacture of cement
1113774;2014;Carbon dioxide (CO2);0.578;Holcim (Schweiz) AG;Würenlingen;Switzerland;47.52172196;8.239083028;Manufacture of cement
1113775;2014;Carbon dioxide (CO2);0.455;Holcim (Schweiz) AG;Untervaz;Switzerland;46.91546506;9.552902875;Manufacture of cement
1113776;2014;Carbon dioxide (CO2);0.489;Jura Cement Fabriken;Wildegg;Switzerland;47.4146612;8.156816243;Manufacture of cement
1113777;2014;Carbon dioxide (CO2);0.213;Juracime SA;Cornaux;Switzerland;47.0340072;7.029617216;Manufacture of cement
1113778;2014;Carbon dioxide (CO2);0.511;Vigier Cement AG;Péry;Switzerland;47.18479521;7.249311299;Manufacture of cement
1113795;2014;Carbon dioxide (CO2);0.291;Les Cheneviers  / UIOM;Aire-la-Ville;Switzerland;46.1941824;6.032202877;Treatment and disposal of non-hazardous waste
1113801;2014;Carbon dioxide (CO2);0.11;SAIDEF Fribourg;Posieux;Switzerland;46.77253432;7.121796283;Treatment and disposal of non-hazardous waste
1113804;2014;Carbon dioxide (CO2);0.177;TRIDEL Lausanne;Lausanne;Switzerland;46.52773381;6.63915526;Treatment and disposal of non-hazardous waste
1113808;2014;Carbon dioxide (CO2);0.188;SATOM Monthey;Monthey;Switzerland;46.27805977;6.959986385;Treatment and disposal of non-hazardous waste
1113809;2014;Carbon dioxide (CO2);0.148;GEKAL Buchs;Buchs AG;Switzerland;47.38901288;8.103492714;Treatment and disposal of non-hazardous waste
1113830;2014;Carbon dioxide (CO2);0.322;LONZA AG;Visp;Switzerland;46.29670128;7.888199065;Manufacture of basic pharmaceutical products
1113832;2014;Carbon dioxide (CO2);0.132;KVA Turgi;Turgi;Switzerland;47.48444522;8.267779462;Treatment and disposal of non-hazardous waste
1113834;2014;Carbon dioxide (CO2);0.244;IWB Basel;Basel;Switzerland;47.54666482;7.58334484;Treatment and disposal of non-hazardous waste
1113836;2014;Carbon dioxide (CO2);0.124;KVA Linthgebiet;Niederurnen;Switzerland;47.13503542;9.040002546;Treatment and disposal of non-hazardous waste
1113837;2014;Carbon dioxide (CO2);0.12;GEVAG Trimmis;Untervaz-Bahnhof;Switzerland;46.91611019;9.556946779;Treatment and disposal of non-hazardous waste
1113838;2014;Carbon dioxide (CO2);0.205;VfA Buchs;Buchs SG;Switzerland;47.17559889;9.483642678;Treatment and disposal of non-hazardous waste
1113841;2014;Carbon dioxide (CO2);0.167;KVA Thurgau;Weinfelden;Switzerland;47.55750184;9.138332675;Treatment and disposal of non-hazardous waste
1113843;2014;Carbon dioxide (CO2);0.124;ERZ KHKW Josefstrasse;Zürich;Switzerland;47.38666398;8.522220992;Treatment and disposal of non-hazardous waste
1113844;2014;Carbon dioxide (CO2);0.278;ERZ KHKW Hagenholz;Zürich;Switzerland;47.41416417;8.565278177;Treatment and disposal of non-hazardous waste
1113845;2014;Carbon dioxide (CO2);0.18;KVA Winterthur;Winterthur;Switzerland;47.49814699;8.752544883;Treatment and disposal of non-hazardous waste
1113847;2014;Carbon dioxide (CO2);0.203;KEZO Hinwil;Hinwil;Switzerland;47.30831191;8.820615898;Treatment and disposal of non-hazardous waste
1113887;2014;Carbon dioxide (CO2);0.231;Axpo Tegra AG;Domat/ Ems;Switzerland;46.8263405;9.424618884;Production of electricity
1113901;2014;Carbon dioxide (CO2);0.179;ACR Giubiasco;Giubiasco;Switzerland;46.17223098;8.988658141;Treatment and disposal of non-hazardous waste
1113905;2014;Carbon dioxide (CO2);0.114;AVAG KVA AG;Thun;Switzerland;46.76205628;7.606189624;Treatment and disposal of non-hazardous waste
1113939;2014;Carbon dioxide (CO2);0.135;Energiezentrale Forsthaus (KVA);Bern;Switzerland;46.95145625;7.413928118;Treatment and disposal of non-hazardous waste
1113944;2014;Carbon dioxide (CO2);0.647;Tamoil SA Raffinerie de Collombey;Collombey-le-Grand;Switzerland;46.28616711;6.952051756;Manufacture of refined petroleum products
1114066;2014;Carbon dioxide (CO2);1.25;Electricity Authority of Cyprus, Dhekelia Power Station;ORMIDEIA;Cyprus;34.980143;33.746236;Production of electricity
1114078;2014;Carbon dioxide (CO2);1.67;Electricity Authority of Cyprus, Vassilikos Power Station;ZYGI;Cyprus;34.728469;33.289753;Production of electricity
1114079;2014;Carbon dioxide (CO2);1.53;VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant;ZYGI;Cyprus;34.721666;33.316388;Manufacture of cement
